Column A,Column B
1,text 1
2,text 2
3,text 3
4,text 4
5,text 5
6,text 6
7,text 7
8,text 8
9,text 9
10,text 10
11,text 11
12,text 12
13,text 13
14,text 14
15,text 15
16,text 16
17,text 17
18,text 18
19,text 19
20,text 20
21,text 21
22,text 22
23,text 23
24,text 24
25,text 25
26,text 26
27,text 27
28,text 28
29,text 29
30,text 30
31,text 31
32,text 32
33,text 33
34,text 34
35,text 35
36,text 36
37,text 37
38,text 38
39,text 39
40,text 40
41,text 41
42,text 42
43,text 43
44,text 44
45,text 45
46,text 46
47,text 47
48,text 48
49,text 49
50,text 50
51,text 51
52,text 52
53,text 53
54,text 54
55,text 55
56,text 56
57,text 57
58,text 58
59,text 59
60,text 60
61,text 61
62,text 62
63,text 63
64,text 64
65,text 65
66,text 66
67,text 67
68,text 68
69,text 69
70,text 70
71,text 71
72,text 72
73,text 73
74,text 74
75,text 75
76,text 76
77,text 77
78,text 78
79,text 79
80,text 80
81,text 81
82,text 82
83,text 83
84,text 84
85,text 85
86,text 86
87,text 87
88,text 88
89,text 89
90,text 90
91,text 91
92,text 92
93,text 93
94,text 94
95,text 95
96,text 96
97,text 97
98,text 98
99,text 99
100,text 100
101,text 101
102,text 102
103,text 103
104,text 104
105,text 105
106,text 106
107,text 107
108,text 108
109,text 109
110,text 110
111,text 111
112,text 112
113,text 113
114,text 114
115,text 115
116,text 116
117,text 117
118,text 118
119,text 119
120,text 120
121,text 121
122,text 122
123,text 123
124,text 124
125,text 125
126,text 126
127,text 127
128,text 128
129,text 129
130,text 130
131,text 131
132,text 132
133,text 133
134,text 134
135,text 135
136,text 136
137,text 137
138,text 138
139,text 139
140,text 140
141,text 141
142,text 142
143,text 143
144,text 144
145,text 145
146,text 146
147,text 147
148,text 148
149,text 149
150,text 150
151,text 151
152,text 152
153,text 153
154,text 154
155,text 155
156,text 156
157,text 157
158,text 158
159,text 159
160,text 160
161,text 161
162,text 162
163,text 163
164,text 164
165,text 165
